127.0.0.1 - - [27/Dec/2023:09:41:03 +0900] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:42:08 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:42:11 +0900] "GET /JSPBasic/www.naver.com HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:42:29 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:43:17 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 238
0:0:0:0:0:0:0:1 - - [27/Dec/2023:09:43:20 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:07:34 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:07:34 +0900] "GET /JSPBasic/img/pull%20request.PNG HTTP/1.1" 200 167603
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:08:49 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:08:49 +0900] "GET /JSPBasic/id.pnh HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:09:26 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 395
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:09:26 +0900] "GET /JSPBasic/id.pnh HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:09:26 +0900] "GET /JSPBasic/img/pull%20request.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:15:37 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 514
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:15:37 +0900] "GET /JSPBasic/id.pnh HTTP/1.1" 404 826
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:15:37 +0900] "GET /JSPBasic/img/pull%20request.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:15:38 +0900] "GET /JSPBasic/hello.html HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [27/Dec/2023:10:16:27 +0900] "GET /JSPBasic/index02.html HTTP/1.1" 200 524
